X,node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID,tipLabel,startProvince,endProvince,startCommune,endCommune
54,74,75,0.00247,658301.512461556,766531.25403219,658271.732551867,766548.020590981,0.23162,0.22915,2020.30381934426,2020.30628934426,73200000,NA,Liège,Liège,4720,4720
55,75,76,0.00242000000000001,658271.732551867,766548.020590981,643580.104295558,764008.297847586,0.23404,0.23162,2020.30628934426,2020.30870934426,73200000,NA,Liège,Liège,4720,4837
56,75,36,0.00245382513699999,658271.732551867,766548.020590981,658331.449427034,766471.76951194,0.234073825137,0.23162,2020.30628934426,2020.3087431694,73200000,hCoV-19/Belgium/rega-0423300/2020|EPI_ISL_462154|2020-04-23|Europe,Liège,Liège,4720,4720
57,76,38,3.38251365699926e-05,643580.104295558,764008.297847586,657756.666499265,766398.224798955,0.23407382513657,0.23404,2020.30870934426,2020.3087431694,73200000,hCoV-19/Belgium/rega-0423297/2020|EPI_ISL_462151|2020-04-23|Europe,Liège,Liège,4837,4720
58,76,37,3.38251365699926e-05,643580.104295558,764008.297847586,643573.62792719,764022.906105609,0.23407382513657,0.23404,2020.30870934426,2020.3087431694,73200000,hCoV-19/Belgium/rega-0423303/2020|EPI_ISL_462157|2020-04-23|Europe,Liège,Liège,4837,4837
59,77,39,1.43715847500114e-05,629397.715554918,780446.610952946,629383.608723973,780412.343117795,0.14937437158545,0.1493600000007,2020.22402934426,2020.22404371585,73200000,hCoV-19/Belgium/ULG-0184/2020|EPI_ISL_447127|2020-03-23|Europe,Liège,Liège,4750,4750
61,78,40,0.02537038251,646899.138466675,768962.093701102,646676.26063107,769230.677102087,0.2176803825107,0.1923100000007,2020.26697934426,2020.29234972677,73200000,hCoV-19/Belgium/ULG-10145/2020|EPI_ISL_447137|2020-04-17|Europe,Liège,Liège,4700,4700
62,78,41,0.04176382514,646899.138466675,768962.093701102,649933.948628905,766982.711637929,0.2340738251407,0.1923100000007,2020.26697934426,2020.3087431694,73200000,hCoV-19/Belgium/rega-0423302/2020|EPI_ISL_462156|2020-04-23|Europe,Liège,Liège,4700,4700
63,160,161,0.000371101413800007,646603.763264611,737815.150563608,646324.898693325,738040.242055861,0.0261823681525,0.0258112667387,2020.1733182428,2020.17368934422,73200000,NA,Liège,Liège,4030,4030
64,160,163,0.000371101413800007,646603.763264611,737815.150563608,646324.898693325,738040.242055861,0.0261823681525,0.0258112667387,2020.1733182428,2020.17368934422,73200000,NA,Liège,Liège,4030,4030
65,161,104,0.07221229508,646324.898693325,738040.242055861,646132.810102175,738277.032547647,0.0983946632325,0.0261823681525,2020.17368934422,2020.2459016393,73200000,hCoV-19/Belgium/ULG-10022/2020|EPI_ISL_421197|2020-03-31|Europe,Liège,Liège,4030,4032
67,164,107,0.000852544663600019,646612.953308837,737731.681438062,655785.576024882,739659.33861325,0.0328208927421,0.0319683480785,2020.17947532414,2020.18032786881,73200000,hCoV-19/Belgium/ULG-3662/2020|EPI_ISL_417008|2020-03-07|Europe,Liège,Liège,4030,4680
