X,node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID,tipLabel,startProvince,endProvince,startCommune,endCommune
338,699,647,0.01183005464,650452.441940635,733577.955323631,650074.658520355,732925.917741857,0.0469453960739,0.0351153414339,2020.23133934421,2020.24316939885,262400000,hCoV-19/Belgium/SAA-0330367/2020|EPI_ISL_462221|2020-03-30|Europe,Liège,Liège,4430,4430
339,700,648,0.1259231148,650382.190020038,733507.842529636,646177.473320779,739567.139784124,0.1726284562339,0.0467053414339,2020.24292934421,2020.36885245901,262400000,hCoV-19/Belgium/ULG-10222/2020|EPI_ISL_498128|2020-05-15|Europe,Liège,Liège,4430,4032
341,701,649,0.003407978142,650418.817634087,733346.136690377,650438.407100341,733303.641877036,0.0688033195759,0.0653953414339,2020.26161934421,2020.26502732235,262400000,hCoV-19/Belgium/ULG-10126/2020|EPI_ISL_427372|2020-04-07|Europe,Liège,Liège,4430,4430
342,701,650,0.003407978142,650418.817634087,733346.136690377,652069.028035781,739415.523437937,0.0688033195759,0.0653953414339,2020.26161934421,2020.26502732235,262400000,hCoV-19/Belgium/ULG-10106/2020|EPI_ISL_427357|2020-04-07|Europe,Liège,Liège,4430,4040
344,702,703,0.02969962447,650702.301256473,735214.935551324,651090.899089191,735712.732799669,0.0465749658996,0.0168753414296,2020.21309934421,2020.24279896868,262400000,NA,Liège,Liège,4000,4000
345,703,704,0.000830557438499996,651090.899089191,735712.732799669,650974.771466541,735400.062145842,0.0474055233381,0.0465749658996,2020.24279896868,2020.24362952612,262400000,NA,Liège,Liège,4000,4000
347,704,705,0.000579818090099993,650974.771466541,735400.062145842,650974.874185857,735148.740820338,0.0479853414282,0.0474055233381,2020.24362952612,2020.24420934421,262400000,NA,Liège,Liège,4000,4000
348,704,706,0.02116176492,650974.771466541,735400.062145842,651203.484266828,738234.470894186,0.0685672882581,0.0474055233381,2020.24362952612,2020.26479129104,262400000,NA,Liège,Liège,4000,4040
350,705,653,0.05087262295,650974.874185857,735148.740820338,650193.519819639,738309.606934379,0.0988579643782,0.0479853414282,2020.24420934421,2020.29508196716,262400000,hCoV-19/Belgium/ULG-10148/2020|EPI_ISL_447145|2020-04-18|Europe,Liège,Liège,4000,4040
351,706,708,4.80531728200284e-05,651203.484266828,738234.470894186,651203.008025208,738244.382649149,0.06861534143092,0.0685672882581,2020.26479129104,2020.26483934421,262400000,NA,Liège,Liège,4040,4040
352,706,707,4.80531728200284e-05,651203.484266828,738234.470894186,651203.008025208,738244.382649149,0.06861534143092,0.0685672882581,2020.26479129104,2020.26483934421,262400000,NA,Liège,Liège,4040,4040
353,707,655,0.03024262295,651203.008025208,738244.382649149,651052.469490862,741227.239603505,0.09885796438092,0.06861534143092,2020.26483934421,2020.29508196716,262400000,hCoV-19/Belgium/ULG-10149/2020|EPI_ISL_447146|2020-04-18|Europe,Liège,Liège,4040,4020
354,707,656,0.1258710383,651203.008025208,738244.382649149,654902.991216636,738064.71358423,0.19448637973092,0.06861534143092,2020.26483934421,2020.39071038251,262400000,hCoV-19/Belgium/ULG-10220/2020|EPI_ISL_484708|2020-05-23,Liège,Liège,4040,4040
355,708,710,0.03023,651203.008025208,738244.382649149,650899.039490547,738155.053180623,0.09884534143092,0.06861534143092,2020.26483934421,2020.29506934421,262400000,NA,Liège,Liège,4040,4040
356,708,709,0.10673,651203.008025208,738244.382649149,652056.28874686,737660.732911308,0.17534534143092,0.06861534143092,2020.26483934421,2020.37156934421,262400000,NA,Liège,Liège,4040,4040
357,709,658,1.53551911599992e-05,652056.28874686,737660.732911308,652092.232967127,737668.889925858,0.17536069662208,0.17534534143092,2020.37156934421,2020.3715846994,262400000,hCoV-19/Belgium/ULG-10229/2020|EPI_ISL_498135|2020-05-16|Europe,Liège,Liège,4040,4040
359,710,659,1.26229507200065e-05,650899.039490547,738155.053180623,650902.452738169,738157.730208173,0.09885796438164,0.09884534143092,2020.29506934421,2020.29508196716,262400000,hCoV-19/Belgium/ULG-10160/2020|EPI_ISL_447155|2020-04-18|Europe,Liège,Liège,4040,4040
360,710,711,0.02906242521,650899.039490547,738155.053180623,650971.379680326,738314.683604256,0.12790776664092,0.09884534143092,2020.29506934421,2020.32413176942,262400000,NA,Liège,Liège,4040,4040
361,711,712,0.03104757479,650971.379680326,738314.683604256,655955.445824003,740269.817826717,0.15895534143092,0.12790776664092,2020.32413176942,2020.35517934421,262400000,NA,Liège,Liège,4040,4680
362,711,713,0.000127574795000002,650971.379680326,738314.683604256,650980.366778197,738309.501903985,0.12803534143592,0.12790776664092,2020.32413176942,2020.32425934421,262400000,NA,Liège,Liège,4040,4040
363,712,660,1.19125681700138e-05,655955.445824003,740269.817826717,655951.713486153,740268.04660293,0.15896725399909,0.15895534143092,2020.35517934421,2020.35519125678,262400000,hCoV-19/Belgium/ULG-10184/2020|EPI_ISL_455972|2020-05-10|Europe,Liège,Liège,4680,4680
364,712,661,1.19125681700138e-05,655955.445824003,740269.817826717,642977.582030256,725101.023329013,0.15896725399909,0.15895534143092,2020.35517934421,2020.35519125678,262400000,hCoV-19/Belgium/ULG-10218/2020|EPI_ISL_484706|2020-05-10|Europe,Liège,Liège,4680,4400
365,713,662,0.03093191257,650980.366778197,738309.501903985,650294.214474954,737714.627923163,0.15896725400592,0.12803534143592,2020.32425934421,2020.35519125679,262400000,hCoV-19/Belgium/ULG-10182/2020|EPI_ISL_455970|2020-05-10|Europe,Liège,Liège,4040,4040
366,713,714,4.00000000000122e-05,650980.366778197,738309.501903985,650980.594206787,738311.613965739,0.12807534143592,0.12803534143592,2020.32425934421,2020.32429934421,262400000,NA,Liège,Liège,4040,4040
367,714,716,0.02541,650980.594206787,738311.613965739,656040.858568263,738480.031871462,0.15348534143592,0.12807534143592,2020.32429934421,2020.34970934421,262400000,NA,Liège,Liège,4040,4680
368,714,715,0.03088,650980.594206787,738311.613965739,637680.180651004,718175.154434976,0.15895534143592,0.12807534143592,2020.32429934421,2020.35517934422,262400000,NA,Liège,Liège,4040,4540
369,715,664,1.19125681700138e-05,637680.180651004,718175.154434976,637677.634243403,718181.267877795,0.15896725400409,0.15895534143592,2020.35517934422,2020.35519125678,262400000,hCoV-19/Belgium/ULG-10181/2020|EPI_ISL_455969|2020-05-10|Europe,Liège,Liège,4540,4540
370,715,663,0.01640535519,637680.180651004,718175.154434976,654235.275007859,739454.897673903,0.17536069662592,0.15895534143592,2020.35517934422,2020.37158469941,262400000,hCoV-19/Belgium/ULG-10228/2020|EPI_ISL_498134|2020-05-16|Europe,Liège,Liège,4540,4040
371,716,665,1.74316939199892e-05,656040.858568263,738480.031871462,656049.819892579,738514.864155637,0.15350277312984,0.15348534143592,2020.34970934421,2020.34972677591,262400000,hCoV-19/Belgium/ULG-10172/2020|EPI_ISL_455960|2020-05-08|Europe,Liège,Liège,4680,4680
372,716,717,0.0167,656040.858568263,738480.031871462,653873.490390686,740072.501063864,0.17018534143592,0.15348534143592,2020.34970934421,2020.36640934421,262400000,NA,Liège,Liège,4680,4040
373,717,718,0.00242000000000001,653873.490390686,740072.501063864,656836.825638126,747601.057198063,0.17260534143592,0.17018534143592,2020.36640934421,2020.36882934421,262400000,NA,Liège,Liège,4040,4607
374,717,719,0.00256000000000001,653873.490390686,740072.501063864,654163.676105294,739843.705993562,0.17274534143592,0.17018534143592,2020.36640934421,2020.36896934421,262400000,NA,Liège,Liège,4040,4040
375,718,667,2.31147540299959e-05,656836.825638126,747601.057198063,648813.35994204,753010.009776652,0.17262845618995,0.17260534143592,2020.36882934421,2020.36885245897,262400000,hCoV-19/Belgium/ULG-10225/2020|EPI_ISL_498131|2020-05-15|Europe,Liège,Liège,4607,4650
376,718,666,2.31147540299959e-05,656836.825638126,747601.057198063,656851.221150313,747585.680946516,0.17262845618995,0.17260534143592,2020.36882934421,2020.36885245897,262400000,hCoV-19/Belgium/ULG-10224/2020|EPI_ISL_498130|2020-05-15|Europe,Liège,Liège,4607,4607
377,719,720,0.00259999999999999,654163.676105294,739843.705993562,654085.290910402,739770.954089576,0.17534534143592,0.17274534143592,2020.36896934421,2020.37156934422,262400000,NA,Liège,Liège,4040,4040
379,720,669,1.53551911599992e-05,654085.290910402,739770.954089576,651085.406513947,741134.087894532,0.17536069662708,0.17534534143592,2020.37156934422,2020.37158469941,262400000,hCoV-19/Belgium/ULG-10230/2020|EPI_ISL_498136|2020-05-16|Europe,Liège,Liège,4040,4020
382,721,722,0.01639,654085.290910402,739770.954089576,657055.253030645,736892.589853245,0.19173534143592,0.17534534143592,2020.37156934422,2020.38795934422,262400000,NA,Liège,Liège,4040,4680
383,722,671,1.87978141399925e-05,657055.253030645,736892.589853245,657053.507162763,736879.860493087,0.19175413925006,0.19173534143592,2020.38795934422,2020.38797814203,262400000,hCoV-19/Belgium/ULG-10199/2020|EPI_ISL_471434|2020-05-22|Europe,Liège,Liège,4680,4680
384,722,672,0.00275103825100001,657055.253030645,736892.589853245,648975.383414324,748306.380560419,0.19448637968692,0.19173534143592,2020.38795934422,2020.39071038247,262400000,hCoV-19/Belgium/ULG-10200/2020|EPI_ISL_471435|2020-05-23|Europe,Liège,Liège,4680,4633
385,723,724,0.000235011357699988,650249.064323652,736268.67297353,643581.479461841,731214.721838402,0.00123119522939999,0.000996183871700002,2020.19722018665,2020.19745519801,262400000,NA,Liège,Liège,4000,4100
387,724,725,0.000184146200200019,643581.479461841,731214.721838402,643583.91033102,731233.792134463,0.00141534142960001,0.00123119522939999,2020.19745519801,2020.19763934421,262400000,NA,Liège,Liège,4100,4100
